,BTC,BNB,XRP,SOL,DOGE,LINK,UNI,LTC,BCH,MATIC,FTT,TRX,AXS,SHIB,AAVE,OKB,GRT,FTM,CEL,MKR,COMP,SUSHI,SNX,HT,CHZ,OMG,ENJ,YFI,SRM,BAT,CRV,REN,AUDIO,BNT,ZRX,DYDX,RAY,PERP,SAND,C98,CRO,HNT,LEO,MANA,WAVES,SKL,SPELL,1INCH
2021-09-27 13:00:00,CSP,BTO,CSP,CSP,CSP,CSP,CLP,CSP,BTO,BTO,CSP,CSP,CSP,CSP,STO,BTO,CSP,CSP,CSP,CSP,CLP,STO,CSP,BTO,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CLP,CSP,CSP,STO,CSP,STO,CSP,,,,BTO,,,,,
2021-09-27 14:00:00,CSP,BTO,CSP,CSP,CSP,CSP,CLP,CSP,BTO,BTO,CSP,CSP,CSP,CSP,CLP,BTO,CSP,CSP,CSP,CSP,STO,STO,CSP,BTO,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CLP,CSP,STO,CSP,STO,CSP,,,,BTO,,,,,
2021-09-27 15:00:00,CSP,BTO,CSP,CSP,CSP,CSP,CLP,CSP,BTO,BTO,CSP,CSP,CSP,CSP,CLP,BTO,CSP,CSP,CSP,CSP,STO,STO,CSP,BTO,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CLP,CSP,STO,CSP,STO,CSP,,,,BTO,,,,,
2021-09-27 16:00:00,CSP,BTO,CSP,CSP,CSP,CSP,CLP,CSP,BTO,BTO,CSP,BTO,CSP,CSP,STO,BTO,CSP,CSP,CSP,CSP,CLP,CLP,CSP,BTO,CSP,CSP,CSP,CSP,CSP,CSP,STO,CLP,CSP,CLP,CSP,STO,CSP,STO,CSP,,,,BTO,,,,,
2021-09-27 17:00:00,CSP,BTO,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,CLP,CLP,CSP,BTO,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,STO,CSP,CLP,CSP,,,,BTO,,,,,
2021-09-27 18:00:00,CSP,BTO,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,CLP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,STO,CSP,CLP,CSP,,,,BTO,,,,,
2021-09-27 19:00:00,CSP,BTO,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,CLP,STO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CLP,CSP,CLP,CSP,CLP,CSP,,,,CSP,,,,,
2021-09-27 20:00:00,CSP,BTO,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CLP,STO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CLP,BTO,CLP,CSP,CLP,CSP,,,,CSP,,,,,
2021-09-27 21:00:00,CSP,BTO,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CLP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CLP,CSP,CLP,CSP,CLP,CSP,,,,BTO,,,,,
2021-09-27 22:00:00,CSP,BTO,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CLP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CLP,CSP,STO,CSP,CLP,CSP,,,,CSP,,,,,
